Ucet;Nazev;Typ;Druh;NadrizenyUcet
01;Dlouhodobý nehmotný majetek;;;0
012;Nehmotné výsledky výzkumu a vývoje;Aktivní;Rozvahový;01
013;Software;Aktivní;Rozvahový;01
014;Ocenitelná práva;Aktivní;Rozvahový;01
015;Goodwill;Aktivní;Rozvahový;01
019;Jiný dlouhodobý nehmotný majetek;Aktivní;Rozvahový;01
02;Dlouhodobý hmotný majetek odpisovaný;;;0
021;Stavby;Aktivní;Rozvahový;02
022;Samostatné movité věci a soubory movitých věcí;Aktivní;Rozvahový;02
025;Pěstitelské celky trvalých porostů;Aktivní;Rozvahový;02
026;Dospělá zvířata a jejich skupiny;Aktivní;Rozvahový;02
029;Jiný dlouhodobý hmotný majetek;Aktivní;Rozvahový;02
03;Dlouhodobý hmotný majetek neodpisovaný;;;0
031;Pozemky;Aktivní;Rozvahový;03
032;Umělecká díla a sbírky;Aktivní;Rozvahový;03
04;Nedokončený dlouhodobý nehmotný a hmotný majetek;;;0
041;Pořízení dlouhodobého nehmotného majetku;Aktivní;Rozvahový;04
042;Pořízení dlouhodobého hmotného majetku;Aktivní;Rozvahový;04
05;Poskytnuté zálohy na dlouhodobý majetek;;;0
051;Poskytnuté zálohy na dlouhodobý nehmotný majetek;Aktivní;Rozvahový;05
052;Poskytnuté zálohy na dlouhodobý hmotný majetek;Aktivní;Rozvahový;05
053;Poskytnuté zálohy na dlouhodobý finanční majetek;Aktivní;Rozvahový;05
06;Dlouhodobý finanční majetek;;;0
061;Podíly v ovládaných a řízených osobách;Aktivní;Rozvahový;06
062;Podíly v účetních jednotkách pod podstatným vlivem;Aktivní;Rozvahový;06
063;Ostatní cenné papíry a podíly;Aktivní;Rozvahový;06
065;Dluhové cenné papíry držené do splatnosti;Aktivní;Rozvahový;06
066;Půjčky a úvěry - ovládající a řídící osoby, podstatný vliv;Aktivní;Rozvahový;06
067;Ostatní půjčky;Aktivní;Rozvahový;06
069;Jiný dlouhodobý finanční majetek;Aktivní;Rozvahový;06
07;Oprávky k dlouhodobému nehmotnému majetku;;;0
072;Oprávky k nehmotným výsledkům výzkumu a vývoje;Pasivní;Rozvahový;07
073;Oprávky k softwaru;Pasivní;Rozvahový;07
074;Oprávky k ocenitelným právům;Pasivní;Rozvahový;07
075;Oprávky ke goodwillu;Pasivní;Rozvahový;07
079;Oprávky k jinému dlouhodobému nehmotnému majetku;Pasivní;Rozvahový;07
08;Oprávky k dlouhodobému hmotnému majetku;;;0
081;Oprávky ke stavbám;Pasivní;Rozvahový;08
082;Oprávky k samost. movitým věcem a souborům movitých věcí;Pasivní;Rozvahový;08
085;Oprávky k pěstitelským celkům trvalých porostů;Pasivní;Rozvahový;08
086;Oprávky k základnímu stádu a tažným zvířatům;Pasivní;Rozvahový;08
089;Oprávky k jinému dlouhodobému hmotnému majetku;Pasivní;Rozvahový;08
09;Opravné položky k dlouhodobému majetku;;;0
091;Opravná položka k dlouhodobému nehmotnému majetku;Pasivní;Rozvahový;09
092;Opravná položka k dlouhodobému hmotnému majetku;Pasivní;Rozvahový;09
093;Opravná položka k dlouhodobému nedokončenému nehmotnému majetku;Pasivní;Rozvahový;09
094;Opravná položka k dlouhodobému nedokončenému hmotnému majetku;Pasivní;Rozvahový;09
095;Opravná položka k poskytnutým zálohám na dlouhodobý majetek;Pasivní;Rozvahový;09
096;Opravná položka k dlouhodobému finančnímu majetku;Pasivní;Rozvahový;09
097;Oceňovací rozdíl k nabytému majetku;Pasivní;Rozvahový;09
098;Oprávky k oceňovacímu rozdílu k nabytému majetku;Pasivní;Rozvahový;09
11;Materiál;;;1
111;Pořízení materiálu;Aktivní;Rozvahový;11
112;Materiál na skladě;Aktivní;Rozvahový;11
119;Materiál na cestě;Aktivní;Rozvahový;11
12;Zásoby vlastní činnosti;;;1
121;Nedokončená výroba;Aktivní;Rozvahový;12
122;Polotovary vlastní výroby;Aktivní;Rozvahový;12
123;Výrobky;Aktivní;Rozvahový;12
124;Mladá a ostatní zvířata a jejich skupiny;Aktivní;Rozvahový;12
13;Zboží;;;1
131;Pořízení zboží;Aktivní;Rozvahový;13
132;Zboží na skladě a v prodejnách;Aktivní;Rozvahový;13
139;Zboží na cestě;Aktivní;Rozvahový;13
